RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
1,NB,L,1670245346.812,69.8989999294281,2022-12-05 08:02:26.812000,2022-12-05 00:02:26.812000,2022-12-05 01:02:26.812000,2022-12-05 12:02:26.812000 AM,2022-12-05 01:02:26.812000 AM
1,NB,L,1670245432.611,67.09400010108948,2022-12-05 08:03:52.611000,2022-12-05 00:03:52.611000,2022-12-05 01:03:52.611000,2022-12-05 12:03:52.611000 AM,2022-12-05 01:03:52.611000 AM
1,SB,T,1670245277.913,22.0,2022-12-05 08:01:17.913000,2022-12-05 00:01:17.913000,2022-12-05 01:01:17.913000,2022-12-05 12:01:17.913000 AM,2022-12-05 01:01:17.913000 AM
1,SB,T,1670245384.613,38.800999879837036,2022-12-05 08:03:04.613000,2022-12-05 00:03:04.613000,2022-12-05 01:03:04.613000,2022-12-05 12:03:04.613000 AM,2022-12-05 01:03:04.613000 AM
4,NB,T,1670244611.801,10.708000183105469,2022-12-05 07:50:11.801000,2022-12-04 23:50:11.801000,2022-12-05 00:50:11.801000,2022-12-04 11:50:11.801000 PM,2022-12-05 12:50:11.801000 AM
4,NB,T,1670245136.101,12.0,2022-12-05 07:58:56.101000,2022-12-04 23:58:56.101000,2022-12-05 00:58:56.101000,2022-12-04 11:58:56.101000 PM,2022-12-05 12:58:56.101000 AM
4,SB,T,1670244550.901,10.907999992370605,2022-12-05 07:49:10.901000,2022-12-04 23:49:10.901000,2022-12-05 00:49:10.901000,2022-12-04 11:49:10.901000 PM,2022-12-05 12:49:10.901000 AM
4,SB,T,1670244611.801,10.708000183105469,2022-12-05 07:50:11.801000,2022-12-04 23:50:11.801000,2022-12-05 00:50:11.801000,2022-12-04 11:50:11.801000 PM,2022-12-05 12:50:11.801000 AM
4,EB,T,1670244500.601,625.7990000247955,2022-12-05 07:48:20.601000,2022-12-04 23:48:20.601000,2022-12-05 00:48:20.601000,2022-12-04 11:48:20.601000 PM,2022-12-05 12:48:20.601000 AM
4,EB,T,1670244602.094,92.08899998664856,2022-12-05 07:50:02.094000,2022-12-04 23:50:02.094000,2022-12-05 00:50:02.094000,2022-12-04 11:50:02.094000 PM,2022-12-05 12:50:02.094000 AM
4,EB,L,1670244500.601,625.7990000247955,2022-12-05 07:48:20.601000,2022-12-04 23:48:20.601000,2022-12-05 00:48:20.601000,2022-12-04 11:48:20.601000 PM,2022-12-05 12:48:20.601000 AM
4,EB,L,1670244602.094,92.08899998664856,2022-12-05 07:50:02.094000,2022-12-04 23:50:02.094000,2022-12-05 00:50:02.094000,2022-12-04 11:50:02.094000 PM,2022-12-05 12:50:02.094000 AM
5,NB,T,1670245333.651,63.49600005149841,2022-12-05 08:02:13.651000,2022-12-05 00:02:13.651000,2022-12-05 01:02:13.651000,2022-12-05 12:02:13.651000 AM,2022-12-05 01:02:13.651000 AM
5,NB,T,1670245399.153,45.5,2022-12-05 08:03:19.153000,2022-12-05 00:03:19.153000,2022-12-05 01:03:19.153000,2022-12-05 12:03:19.153000 AM,2022-12-05 01:03:19.153000 AM
5,SB,T,1670245246.056,13.0,2022-12-05 08:00:46.056000,2022-12-05 00:00:46.056000,2022-12-05 01:00:46.056000,2022-12-05 12:00:46.056000 AM,2022-12-05 01:00:46.056000 AM
5,SB,T,1670245399.153,128.9980001449585,2022-12-05 08:03:19.153000,2022-12-05 00:03:19.153000,2022-12-05 01:03:19.153000,2022-12-05 12:03:19.153000 AM,2022-12-05 01:03:19.153000 AM
5,SB,L,1670245123.854,102.20000004768372,2022-12-05 07:58:43.854000,2022-12-04 23:58:43.854000,2022-12-05 00:58:43.854000,2022-12-04 11:58:43.854000 PM,2022-12-05 12:58:43.854000 AM
5,SB,L,1670245354.665,219.00699996948242,2022-12-05 08:02:34.665000,2022-12-05 00:02:34.665000,2022-12-05 01:02:34.665000,2022-12-05 12:02:34.665000 AM,2022-12-05 01:02:34.665000 AM
5,WB,T,1670245234.056,61.40400004386902,2022-12-05 08:00:34.056000,2022-12-05 00:00:34.056000,2022-12-05 01:00:34.056000,2022-12-05 12:00:34.056000 AM,2022-12-05 01:00:34.056000 AM
5,WB,T,1670245271.154,26.098000049591064,2022-12-05 08:01:11.154000,2022-12-05 00:01:11.154000,2022-12-05 01:01:11.154000,2022-12-05 12:01:11.154000 AM,2022-12-05 01:01:11.154000 AM
7,NB,T,1670245125.715,13.40499997138977,2022-12-05 07:58:45.715000,2022-12-04 23:58:45.715000,2022-12-05 00:58:45.715000,2022-12-04 11:58:45.715000 PM,2022-12-05 12:58:45.715000 AM
7,NB,T,1670245232.013,14.200999975204468,2022-12-05 08:00:32.013000,2022-12-05 00:00:32.013000,2022-12-05 01:00:32.013000,2022-12-05 12:00:32.013000 AM,2022-12-05 01:00:32.013000 AM
7,SB,T,1670245232.013,14.200999975204468,2022-12-05 08:00:32.013000,2022-12-05 00:00:32.013000,2022-12-05 01:00:32.013000,2022-12-05 12:00:32.013000 AM,2022-12-05 01:00:32.013000 AM
7,SB,T,1670245273.614,15.903000116348267,2022-12-05 08:01:13.614000,2022-12-05 00:01:13.614000,2022-12-05 01:01:13.614000,2022-12-05 12:01:13.614000 AM,2022-12-05 01:01:13.614000 AM
7,EB,T,1670245218.819,94.10700011253357,2022-12-05 08:00:18.819000,2022-12-05 00:00:18.819000,2022-12-05 01:00:18.819000,2022-12-05 12:00:18.819000 AM,2022-12-05 01:00:18.819000 AM
7,EB,T,1670245377.22,147.00800013542175,2022-12-05 08:02:57.220000,2022-12-05 00:02:57.220000,2022-12-05 01:02:57.220000,2022-12-05 12:02:57.220000 AM,2022-12-05 01:02:57.220000 AM
7,EB,L,1670245113.316,252.0039999485016,2022-12-05 07:58:33.316000,2022-12-04 23:58:33.316000,2022-12-05 00:58:33.316000,2022-12-04 11:58:33.316000 PM,2022-12-05 12:58:33.316000 AM
7,EB,L,1670245218.819,94.10700011253357,2022-12-05 08:00:18.819000,2022-12-05 00:00:18.819000,2022-12-05 01:00:18.819000,2022-12-05 12:00:18.819000 AM,2022-12-05 01:00:18.819000 AM
1,NB,T,1670245087.614,10.80299997329712,2022-12-05 07:58:07.614000,2022-12-04 23:58:07.614000,2022-12-05 00:58:07.614000,2022-12-04 11:58:07.614000 PM,2022-12-05 12:58:07.614000 AM
