RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
1,NB,L,1670245365.517,88.60399985313416,2022-12-05 08:02:45.517000,2022-12-05 00:02:45.517000,2022-12-05 01:02:45.517000,2022-12-05 12:02:45.517000 AM,2022-12-05 01:02:45.517000 AM
1,NB,L,1670245457.812,92.29500007629395,2022-12-05 08:04:17.812000,2022-12-05 00:04:17.812000,2022-12-05 01:04:17.812000,2022-12-05 12:04:17.812000 AM,2022-12-05 01:04:17.812000 AM
1,SB,T,1670245345.812,89.8989999294281,2022-12-05 08:02:25.812000,2022-12-05 00:02:25.812000,2022-12-05 01:02:25.812000,2022-12-05 12:02:25.812000 AM,2022-12-05 01:02:25.812000 AM
1,SB,T,1670245431.612,85.79999995231628,2022-12-05 08:03:51.612000,2022-12-05 00:03:51.612000,2022-12-05 01:03:51.612000,2022-12-05 12:03:51.612000 AM,2022-12-05 01:03:51.612000 AM
4,NB,T,1670245124.101,523.0080001354218,2022-12-05 07:58:44.101000,2022-12-04 23:58:44.101000,2022-12-05 00:58:44.101000,2022-12-04 11:58:44.101000 PM,2022-12-05 12:58:44.101000 AM
4,NB,T,1670245480.093,355.99199986457825,2022-12-05 08:04:40.093000,2022-12-05 00:04:40.093000,2022-12-05 01:04:40.093000,2022-12-05 12:04:40.093000 AM,2022-12-05 01:04:40.093000 AM
4,SB,T,1670244601.093,101.49199986457825,2022-12-05 07:50:01.093000,2022-12-04 23:50:01.093000,2022-12-05 00:50:01.093000,2022-12-04 11:50:01.093000 PM,2022-12-05 12:50:01.093000 AM
4,SB,T,1670244819.101,218.00800013542175,2022-12-05 07:53:39.101000,2022-12-04 23:53:39.101000,2022-12-05 00:53:39.101000,2022-12-04 11:53:39.101000 PM,2022-12-05 12:53:39.101000 AM
4,EB,T,1670244510.005,635.2030000686646,2022-12-05 07:48:30.005000,2022-12-04 23:48:30.005000,2022-12-05 00:48:30.005000,2022-12-04 11:48:30.005000 PM,2022-12-05 12:48:30.005000 AM
4,EB,T,1670244610.802,100.79699993133545,2022-12-05 07:50:10.802000,2022-12-04 23:50:10.802000,2022-12-05 00:50:10.802000,2022-12-04 11:50:10.802000 PM,2022-12-05 12:50:10.802000 AM
4,EB,L,1670244510.005,635.2030000686646,2022-12-05 07:48:30.005000,2022-12-04 23:48:30.005000,2022-12-05 00:48:30.005000,2022-12-04 11:48:30.005000 PM,2022-12-05 12:48:30.005000 AM
4,EB,L,1670244610.802,100.79699993133545,2022-12-05 07:50:10.802000,2022-12-04 23:50:10.802000,2022-12-05 00:50:10.802000,2022-12-04 11:50:10.802000 PM,2022-12-05 12:50:10.802000 AM
5,NB,T,1670245353.653,83.4980001449585,2022-12-05 08:02:33.653000,2022-12-05 00:02:33.653000,2022-12-05 01:02:33.653000,2022-12-05 12:02:33.653000 AM,2022-12-05 01:02:33.653000 AM
5,NB,T,1670245421.153,150.9980001449585,2022-12-05 08:03:41.153000,2022-12-05 00:03:41.153000,2022-12-05 01:03:41.153000,2022-12-05 12:03:41.153000 AM,2022-12-05 01:03:41.153000 AM
5,SB,T,1670245270.155,224.90199995040894,2022-12-05 08:01:10.155000,2022-12-05 00:01:10.155000,2022-12-05 01:01:10.155000,2022-12-05 12:01:10.155000 AM,2022-12-05 01:01:10.155000 AM
5,SB,T,1670245421.153,375.90000009536743,2022-12-05 08:03:41.153000,2022-12-05 00:03:41.153000,2022-12-05 01:03:41.153000,2022-12-05 12:03:41.153000 AM,2022-12-05 01:03:41.153000 AM
5,SB,L,1670245135.658,114.00399994850159,2022-12-05 07:58:55.658000,2022-12-04 23:58:55.658000,2022-12-05 00:58:55.658000,2022-12-04 11:58:55.658000 PM,2022-12-05 12:58:55.658000 AM
5,SB,L,1670245365.652,229.99399995803833,2022-12-05 08:02:45.652000,2022-12-05 00:02:45.652000,2022-12-05 01:02:45.652000,2022-12-05 12:02:45.652000 AM,2022-12-05 01:02:45.652000 AM
5,WB,T,1670245245.056,72.40400004386902,2022-12-05 08:00:45.056000,2022-12-05 00:00:45.056000,2022-12-05 01:00:45.056000,2022-12-05 12:00:45.056000 AM,2022-12-05 01:00:45.056000 AM
5,WB,T,1670245282.154,37.098000049591064,2022-12-05 08:01:22.154000,2022-12-05 00:01:22.154000,2022-12-05 01:01:22.154000,2022-12-05 12:01:22.154000 AM,2022-12-05 01:01:22.154000 AM
7,NB,T,1670245217.812,105.50200009346008,2022-12-05 08:00:17.812000,2022-12-05 00:00:17.812000,2022-12-05 01:00:17.812000,2022-12-05 12:00:17.812000 AM,2022-12-05 01:00:17.812000 AM
7,NB,T,1670245376.214,263.904000043869,2022-12-05 08:02:56.214000,2022-12-05 00:02:56.214000,2022-12-05 01:02:56.214000,2022-12-05 12:02:56.214000 AM,2022-12-05 01:02:56.214000 AM
7,SB,T,1670245257.711,39.8989999294281,2022-12-05 08:00:57.711000,2022-12-05 00:00:57.711000,2022-12-05 01:00:57.711000,2022-12-05 12:00:57.711000 AM,2022-12-05 01:00:57.711000 AM
7,SB,T,1670245376.214,158.40199995040894,2022-12-05 08:02:56.214000,2022-12-05 00:02:56.214000,2022-12-05 01:02:56.214000,2022-12-05 12:02:56.214000 AM,2022-12-05 01:02:56.214000 AM
7,EB,T,1670245230.212,368.89999985694885,2022-12-05 08:00:30.212000,2022-12-05 00:00:30.212000,2022-12-05 01:00:30.212000,2022-12-05 12:00:30.212000 AM,2022-12-05 01:00:30.212000 AM
7,EB,T,1670245388.61,158.39800000190735,2022-12-05 08:03:08.610000,2022-12-05 00:03:08.610000,2022-12-05 01:03:08.610000,2022-12-05 12:03:08.610000 AM,2022-12-05 01:03:08.610000 AM
7,EB,L,1670245124.712,2093.7009999752045,2022-12-05 07:58:44.712000,2022-12-04 23:58:44.712000,2022-12-05 00:58:44.712000,2022-12-04 11:58:44.712000 PM,2022-12-05 12:58:44.712000 AM
7,EB,L,1670245230.212,2199.2009999752045,2022-12-05 08:00:30.212000,2022-12-05 00:00:30.212000,2022-12-05 01:00:30.212000,2022-12-05 12:00:30.212000 AM,2022-12-05 01:00:30.212000 AM
1,NB,T,1670245186.813,110.0019998550415,2022-12-05 07:59:46.813000,2022-12-04 23:59:46.813000,2022-12-05 00:59:46.813000,2022-12-04 11:59:46.813000 PM,2022-12-05 12:59:46.813000 AM
1,NB,T,1670245366.412,179.59899997711182,2022-12-05 08:02:46.412000,2022-12-05 00:02:46.412000,2022-12-05 01:02:46.412000,2022-12-05 12:02:46.412000 AM,2022-12-05 01:02:46.412000 AM
1,EB,T,1670244539.112,218.69799995422363,2022-12-05 07:48:59.112000,2022-12-04 23:48:59.112000,2022-12-05 00:48:59.112000,2022-12-04 11:48:59.112000 PM,2022-12-05 12:48:59.112000 AM
1,EB,T,1670245211.22,672.1080000400543,2022-12-05 08:00:11.220000,2022-12-05 00:00:11.220000,2022-12-05 01:00:11.220000,2022-12-05 12:00:11.220000 AM,2022-12-05 01:00:11.220000 AM
1,EB,L,1670244657.313,780.7999999523163,2022-12-05 07:50:57.313000,2022-12-04 23:50:57.313000,2022-12-05 00:50:57.313000,2022-12-04 11:50:57.313000 PM,2022-12-05 12:50:57.313000 AM
1,EB,L,1670244756.313,99.0,2022-12-05 07:52:36.313000,2022-12-04 23:52:36.313000,2022-12-05 00:52:36.313000,2022-12-04 11:52:36.313000 PM,2022-12-05 12:52:36.313000 AM
5,NB,L,1670243306.655,768.6039998531342,2022-12-05 07:28:26.655000,2022-12-04 23:28:26.655000,2022-12-05 00:28:26.655000,2022-12-04 11:28:26.655000 PM,2022-12-05 12:28:26.655000 AM
5,NB,L,1670244345.653,1038.9980001449585,2022-12-05 07:45:45.653000,2022-12-04 23:45:45.653000,2022-12-05 00:45:45.653000,2022-12-04 11:45:45.653000 PM,2022-12-05 12:45:45.653000 AM
1,SB,L,1670244426.612,95.6010000705719,2022-12-05 07:47:06.612000,2022-12-04 23:47:06.612000,2022-12-05 00:47:06.612000,2022-12-04 11:47:06.612000 PM,2022-12-05 12:47:06.612000 AM
1,SB,L,1670245086.612,660.0,2022-12-05 07:58:06.612000,2022-12-04 23:58:06.612000,2022-12-05 00:58:06.612000,2022-12-04 11:58:06.612000 PM,2022-12-05 12:58:06.612000 AM
5,EB,T,1670244831.352,154.89000010490417,2022-12-05 07:53:51.352000,2022-12-04 23:53:51.352000,2022-12-05 00:53:51.352000,2022-12-04 11:53:51.352000 PM,2022-12-05 12:53:51.352000 AM
5,EB,T,1670245057.254,225.90199995040894,2022-12-05 07:57:37.254000,2022-12-04 23:57:37.254000,2022-12-05 00:57:37.254000,2022-12-04 11:57:37.254000 PM,2022-12-05 12:57:37.254000 AM
5,WB,L,1670244983.954,1840.2000000476837,2022-12-05 07:56:23.954000,2022-12-04 23:56:23.954000,2022-12-05 00:56:23.954000,2022-12-04 11:56:23.954000 PM,2022-12-05 12:56:23.954000 AM
5,WB,L,1670245432.752,448.7980000972748,2022-12-05 08:03:52.752000,2022-12-05 00:03:52.752000,2022-12-05 01:03:52.752000,2022-12-05 12:03:52.752000 AM,2022-12-05 01:03:52.752000 AM
1,WB,L,1670244867.013,209.70000004768372,2022-12-05 07:54:27.013000,2022-12-04 23:54:27.013000,2022-12-05 00:54:27.013000,2022-12-04 11:54:27.013000 PM,2022-12-05 12:54:27.013000 AM
1,WB,L,1670245198.81,331.79699993133545,2022-12-05 07:59:58.810000,2022-12-04 23:59:58.810000,2022-12-05 00:59:58.810000,2022-12-04 11:59:58.810000 PM,2022-12-05 12:59:58.810000 AM
1,WB,T,1670245211.22,441.80800008773804,2022-12-05 08:00:11.220000,2022-12-05 00:00:11.220000,2022-12-05 01:00:11.220000,2022-12-05 12:00:11.220000 AM,2022-12-05 01:00:11.220000 AM
1,WB,T,1670245383.612,172.39199995994568,2022-12-05 08:03:03.612000,2022-12-05 00:03:03.612000,2022-12-05 01:03:03.612000,2022-12-05 12:03:03.612000 AM,2022-12-05 01:03:03.612000 AM
