RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
1,NB,L,1670245362.014,85.10099983215332,2022-12-05 08:02:42.014000,2022-12-05 00:02:42.014000,2022-12-05 01:02:42.014000,2022-12-05 12:02:42.014000 AM,2022-12-05 01:02:42.014000 AM
1,NB,L,1670245453.831,88.3140001296997,2022-12-05 08:04:13.831000,2022-12-05 00:04:13.831000,2022-12-05 01:04:13.831000,2022-12-05 12:04:13.831000 AM,2022-12-05 01:04:13.831000 AM
1,SB,T,1670245341.414,85.50099992752075,2022-12-05 08:02:21.414000,2022-12-05 00:02:21.414000,2022-12-05 01:02:21.414000,2022-12-05 12:02:21.414000 AM,2022-12-05 01:02:21.414000 AM
1,SB,T,1670245427.216,81.40400004386902,2022-12-05 08:03:47.216000,2022-12-05 00:03:47.216000,2022-12-05 01:03:47.216000,2022-12-05 12:03:47.216000 AM,2022-12-05 01:03:47.216000 AM
4,NB,T,1670245119.103,518.0099999904633,2022-12-05 07:58:39.103000,2022-12-04 23:58:39.103000,2022-12-05 00:58:39.103000,2022-12-04 11:58:39.103000 PM,2022-12-05 12:58:39.103000 AM
4,NB,T,1670245475.093,350.99199986457825,2022-12-05 08:04:35.093000,2022-12-05 00:04:35.093000,2022-12-05 01:04:35.093000,2022-12-05 12:04:35.093000 AM,2022-12-05 01:04:35.093000 AM
4,SB,T,1670244535.193,35.592000007629395,2022-12-05 07:48:55.193000,2022-12-04 23:48:55.193000,2022-12-05 00:48:55.193000,2022-12-04 11:48:55.193000 PM,2022-12-05 12:48:55.193000 AM
4,SB,T,1670244814.101,213.00800013542175,2022-12-05 07:53:34.101000,2022-12-04 23:53:34.101000,2022-12-05 00:53:34.101000,2022-12-04 11:53:34.101000 PM,2022-12-05 12:53:34.101000 AM
4,EB,T,1670244506.403,631.6010000705719,2022-12-05 07:48:26.403000,2022-12-04 23:48:26.403000,2022-12-05 00:48:26.403000,2022-12-04 11:48:26.403000 PM,2022-12-05 12:48:26.403000 AM
4,EB,T,1670244607.193,97.18799996376038,2022-12-05 07:50:07.193000,2022-12-04 23:50:07.193000,2022-12-05 00:50:07.193000,2022-12-04 11:50:07.193000 PM,2022-12-05 12:50:07.193000 AM
