RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
1,NB,L,1658519881.1,85.38099980354309,2022-07-22 15:58:01.100000,2022-07-22 07:58:01.100000,2022-07-22 08:58:01.100000,2022-07-22 07:58:01.100000 AM,2022-07-22 08:58:01.100000 AM
1,NB,L,1658519881.1,85.38099980354309,2022-07-22 15:58:01.100000,2022-07-22 07:58:01.100000,2022-07-22 08:58:01.100000,2022-07-22 07:58:01.100000 AM,2022-07-22 08:58:01.100000 AM
1,EB,L,1658519721.8,153.98600006103516,2022-07-22 15:55:21.800000,2022-07-22 07:55:21.800000,2022-07-22 08:55:21.800000,2022-07-22 07:55:21.800000 AM,2022-07-22 08:55:21.800000 AM
1,EB,L,1658519721.8,153.98600006103516,2022-07-22 15:55:21.800000,2022-07-22 07:55:21.800000,2022-07-22 08:55:21.800000,2022-07-22 07:55:21.800000 AM,2022-07-22 08:55:21.800000 AM
1,WB,L,1658519882.3,72.28399991989136,2022-07-22 15:58:02.300000,2022-07-22 07:58:02.300000,2022-07-22 08:58:02.300000,2022-07-22 07:58:02.300000 AM,2022-07-22 08:58:02.300000 AM
1,WB,L,1658519882.3,72.28399991989136,2022-07-22 15:58:02.300000,2022-07-22 07:58:02.300000,2022-07-22 08:58:02.300000,2022-07-22 07:58:02.300000 AM,2022-07-22 08:58:02.300000 AM
1,WB,L,1658519884.3,74.28399991989136,2022-07-22 15:58:04.300000,2022-07-22 07:58:04.300000,2022-07-22 08:58:04.300000,2022-07-22 07:58:04.300000 AM,2022-07-22 08:58:04.300000 AM
1,WB,L,1658519884.3,74.28399991989136,2022-07-22 15:58:04.300000,2022-07-22 07:58:04.300000,2022-07-22 08:58:04.300000,2022-07-22 07:58:04.300000 AM,2022-07-22 08:58:04.300000 AM
1,WB,L,1658519886.9,76.8840000629425,2022-07-22 15:58:06.900000,2022-07-22 07:58:06.900000,2022-07-22 08:58:06.900000,2022-07-22 07:58:06.900000 AM,2022-07-22 08:58:06.900000 AM
1,WB,L,1658519888.6,78.58399987220764,2022-07-22 15:58:08.600000,2022-07-22 07:58:08.600000,2022-07-22 08:58:08.600000,2022-07-22 07:58:08.600000 AM,2022-07-22 08:58:08.600000 AM
1,WB,L,1658519888.6,78.58399987220764,2022-07-22 15:58:08.600000,2022-07-22 07:58:08.600000,2022-07-22 08:58:08.600000,2022-07-22 07:58:08.600000 AM,2022-07-22 08:58:08.600000 AM
1,WB,L,1658519891.1,81.08399987220764,2022-07-22 15:58:11.100000,2022-07-22 07:58:11.100000,2022-07-22 08:58:11.100000,2022-07-22 07:58:11.100000 AM,2022-07-22 08:58:11.100000 AM
1,WB,L,1658519891.1,81.08399987220764,2022-07-22 15:58:11.100000,2022-07-22 07:58:11.100000,2022-07-22 08:58:11.100000,2022-07-22 07:58:11.100000 AM,2022-07-22 08:58:11.100000 AM
1,WB,L,1658519896.1,86.08399987220764,2022-07-22 15:58:16.100000,2022-07-22 07:58:16.100000,2022-07-22 08:58:16.100000,2022-07-22 07:58:16.100000 AM,2022-07-22 08:58:16.100000 AM
1,WB,L,1658519896.1,86.08399987220764,2022-07-22 15:58:16.100000,2022-07-22 07:58:16.100000,2022-07-22 08:58:16.100000,2022-07-22 07:58:16.100000 AM,2022-07-22 08:58:16.100000 AM
2,EB,L,1658519886.0,25.64400005340576,2022-07-22 15:58:06.000000,2022-07-22 07:58:06.000000,2022-07-22 08:58:06.000000,2022-07-22 07:58:06.000000 AM,2022-07-22 08:58:06.000000 AM
2,EB,L,1658519886.0,25.64400005340576,2022-07-22 15:58:06.000000,2022-07-22 07:58:06.000000,2022-07-22 08:58:06.000000,2022-07-22 07:58:06.000000 AM,2022-07-22 08:58:06.000000 AM
2,EB,L,1658519889.1,28.74399995803833,2022-07-22 15:58:09.100000,2022-07-22 07:58:09.100000,2022-07-22 08:58:09.100000,2022-07-22 07:58:09.100000 AM,2022-07-22 08:58:09.100000 AM
2,EB,L,1658519893.7,33.34400010108948,2022-07-22 15:58:13.700000,2022-07-22 07:58:13.700000,2022-07-22 08:58:13.700000,2022-07-22 07:58:13.700000 AM,2022-07-22 08:58:13.700000 AM
2,EB,L,1658519893.7,33.34400010108948,2022-07-22 15:58:13.700000,2022-07-22 07:58:13.700000,2022-07-22 08:58:13.700000,2022-07-22 07:58:13.700000 AM,2022-07-22 08:58:13.700000 AM
2,EB,L,1658519893.7,33.34400010108948,2022-07-22 15:58:13.700000,2022-07-22 07:58:13.700000,2022-07-22 08:58:13.700000,2022-07-22 07:58:13.700000 AM,2022-07-22 08:58:13.700000 AM
2,EB,L,1658519894.6,34.24399995803833,2022-07-22 15:58:14.600000,2022-07-22 07:58:14.600000,2022-07-22 08:58:14.600000,2022-07-22 07:58:14.600000 AM,2022-07-22 08:58:14.600000 AM
2,EB,L,1658519894.6,34.24399995803833,2022-07-22 15:58:14.600000,2022-07-22 07:58:14.600000,2022-07-22 08:58:14.600000,2022-07-22 07:58:14.600000 AM,2022-07-22 08:58:14.600000 AM
2,EB,L,1658519894.6,34.24399995803833,2022-07-22 15:58:14.600000,2022-07-22 07:58:14.600000,2022-07-22 08:58:14.600000,2022-07-22 07:58:14.600000 AM,2022-07-22 08:58:14.600000 AM
2,EB,L,1658519902.1,41.74399995803833,2022-07-22 15:58:22.100000,2022-07-22 07:58:22.100000,2022-07-22 08:58:22.100000,2022-07-22 07:58:22.100000 AM,2022-07-22 08:58:22.100000 AM
2,EB,L,1658519902.1,41.74399995803833,2022-07-22 15:58:22.100000,2022-07-22 07:58:22.100000,2022-07-22 08:58:22.100000,2022-07-22 07:58:22.100000 AM,2022-07-22 08:58:22.100000 AM
2,EB,L,1658519903.1,42.74399995803833,2022-07-22 15:58:23.100000,2022-07-22 07:58:23.100000,2022-07-22 08:58:23.100000,2022-07-22 07:58:23.100000 AM,2022-07-22 08:58:23.100000 AM
2,EB,L,1658519903.1,42.74399995803833,2022-07-22 15:58:23.100000,2022-07-22 07:58:23.100000,2022-07-22 08:58:23.100000,2022-07-22 07:58:23.100000 AM,2022-07-22 08:58:23.100000 AM
2,EB,L,1658519905.5,45.14400005340576,2022-07-22 15:58:25.500000,2022-07-22 07:58:25.500000,2022-07-22 08:58:25.500000,2022-07-22 07:58:25.500000 AM,2022-07-22 08:58:25.500000 AM
2,EB,L,1658519905.5,45.14400005340576,2022-07-22 15:58:25.500000,2022-07-22 07:58:25.500000,2022-07-22 08:58:25.500000,2022-07-22 07:58:25.500000 AM,2022-07-22 08:58:25.500000 AM
2,EB,L,1658519910.9,50.54400014877319,2022-07-22 15:58:30.900000,2022-07-22 07:58:30.900000,2022-07-22 08:58:30.900000,2022-07-22 07:58:30.900000 AM,2022-07-22 08:58:30.900000 AM
2,EB,L,1658519910.9,50.54400014877319,2022-07-22 15:58:30.900000,2022-07-22 07:58:30.900000,2022-07-22 08:58:30.900000,2022-07-22 07:58:30.900000 AM,2022-07-22 08:58:30.900000 AM
2,EB,L,1658519914.0,53.64400005340576,2022-07-22 15:58:34.000000,2022-07-22 07:58:34.000000,2022-07-22 08:58:34.000000,2022-07-22 07:58:34.000000 AM,2022-07-22 08:58:34.000000 AM
2,EB,L,1658519914.0,53.64400005340576,2022-07-22 15:58:34.000000,2022-07-22 07:58:34.000000,2022-07-22 08:58:34.000000,2022-07-22 07:58:34.000000 AM,2022-07-22 08:58:34.000000 AM
2,EB,L,1658519917.6,57.24399995803833,2022-07-22 15:58:37.600000,2022-07-22 07:58:37.600000,2022-07-22 08:58:37.600000,2022-07-22 07:58:37.600000 AM,2022-07-22 08:58:37.600000 AM
2,EB,L,1658519917.6,57.24399995803833,2022-07-22 15:58:37.600000,2022-07-22 07:58:37.600000,2022-07-22 08:58:37.600000,2022-07-22 07:58:37.600000 AM,2022-07-22 08:58:37.600000 AM
2,EB,L,1658519921.4,61.04400014877319,2022-07-22 15:58:41.400000,2022-07-22 07:58:41.400000,2022-07-22 08:58:41.400000,2022-07-22 07:58:41.400000 AM,2022-07-22 08:58:41.400000 AM
2,WB,L,1658519830.7,18.3989999294281,2022-07-22 15:57:10.700000,2022-07-22 07:57:10.700000,2022-07-22 08:57:10.700000,2022-07-22 07:57:10.700000 AM,2022-07-22 08:57:10.700000 AM
5,EB,L,1658519885.4,77.81599998474121,2022-07-22 15:58:05.400000,2022-07-22 07:58:05.400000,2022-07-22 08:58:05.400000,2022-07-22 07:58:05.400000 AM,2022-07-22 08:58:05.400000 AM
5,EB,L,1658519885.4,77.81599998474121,2022-07-22 15:58:05.400000,2022-07-22 07:58:05.400000,2022-07-22 08:58:05.400000,2022-07-22 07:58:05.400000 AM,2022-07-22 08:58:05.400000 AM
5,EB,L,1658519885.8,78.21599984169006,2022-07-22 15:58:05.800000,2022-07-22 07:58:05.800000,2022-07-22 08:58:05.800000,2022-07-22 07:58:05.800000 AM,2022-07-22 08:58:05.800000 AM
5,EB,L,1658519888.7,81.1159999370575,2022-07-22 15:58:08.700000,2022-07-22 07:58:08.700000,2022-07-22 08:58:08.700000,2022-07-22 07:58:08.700000 AM,2022-07-22 08:58:08.700000 AM
5,EB,L,1658519888.7,81.1159999370575,2022-07-22 15:58:08.700000,2022-07-22 07:58:08.700000,2022-07-22 08:58:08.700000,2022-07-22 07:58:08.700000 AM,2022-07-22 08:58:08.700000 AM
5,EB,L,1658519889.1,81.51599979400635,2022-07-22 15:58:09.100000,2022-07-22 07:58:09.100000,2022-07-22 08:58:09.100000,2022-07-22 07:58:09.100000 AM,2022-07-22 08:58:09.100000 AM
5,EB,L,1658519889.8,82.21599984169006,2022-07-22 15:58:09.800000,2022-07-22 07:58:09.800000,2022-07-22 08:58:09.800000,2022-07-22 07:58:09.800000 AM,2022-07-22 08:58:09.800000 AM
5,EB,L,1658519889.8,82.21599984169006,2022-07-22 15:58:09.800000,2022-07-22 07:58:09.800000,2022-07-22 08:58:09.800000,2022-07-22 07:58:09.800000 AM,2022-07-22 08:58:09.800000 AM
5,EB,L,1658519893.4,85.81599998474121,2022-07-22 15:58:13.400000,2022-07-22 07:58:13.400000,2022-07-22 08:58:13.400000,2022-07-22 07:58:13.400000 AM,2022-07-22 08:58:13.400000 AM
5,EB,L,1658519893.4,85.81599998474121,2022-07-22 15:58:13.400000,2022-07-22 07:58:13.400000,2022-07-22 08:58:13.400000,2022-07-22 07:58:13.400000 AM,2022-07-22 08:58:13.400000 AM
5,EB,L,1658519894.0,86.41599988937378,2022-07-22 15:58:14.000000,2022-07-22 07:58:14.000000,2022-07-22 08:58:14.000000,2022-07-22 07:58:14.000000 AM,2022-07-22 08:58:14.000000 AM
5,EB,L,1658519894.0,86.41599988937378,2022-07-22 15:58:14.000000,2022-07-22 07:58:14.000000,2022-07-22 08:58:14.000000,2022-07-22 07:58:14.000000 AM,2022-07-22 08:58:14.000000 AM
5,EB,L,1658519895.6,88.01599979400635,2022-07-22 15:58:15.600000,2022-07-22 07:58:15.600000,2022-07-22 08:58:15.600000,2022-07-22 07:58:15.600000 AM,2022-07-22 08:58:15.600000 AM
5,EB,L,1658519895.6,88.01599979400635,2022-07-22 15:58:15.600000,2022-07-22 07:58:15.600000,2022-07-22 08:58:15.600000,2022-07-22 07:58:15.600000 AM,2022-07-22 08:58:15.600000 AM
5,EB,L,1658519897.7,90.1159999370575,2022-07-22 15:58:17.700000,2022-07-22 07:58:17.700000,2022-07-22 08:58:17.700000,2022-07-22 07:58:17.700000 AM,2022-07-22 08:58:17.700000 AM
5,EB,L,1658519900.2,92.6159999370575,2022-07-22 15:58:20.200000,2022-07-22 07:58:20.200000,2022-07-22 08:58:20.200000,2022-07-22 07:58:20.200000 AM,2022-07-22 08:58:20.200000 AM
5,EB,L,1658519900.2,92.6159999370575,2022-07-22 15:58:20.200000,2022-07-22 07:58:20.200000,2022-07-22 08:58:20.200000,2022-07-22 07:58:20.200000 AM,2022-07-22 08:58:20.200000 AM
5,EB,L,1658519911.5,103.91599988937378,2022-07-22 15:58:31.500000,2022-07-22 07:58:31.500000,2022-07-22 08:58:31.500000,2022-07-22 07:58:31.500000 AM,2022-07-22 08:58:31.500000 AM
5,EB,L,1658519911.5,103.91599988937378,2022-07-22 15:58:31.500000,2022-07-22 07:58:31.500000,2022-07-22 08:58:31.500000,2022-07-22 07:58:31.500000 AM,2022-07-22 08:58:31.500000 AM
5,EB,L,1658519914.7,107.1159999370575,2022-07-22 15:58:34.700000,2022-07-22 07:58:34.700000,2022-07-22 08:58:34.700000,2022-07-22 07:58:34.700000 AM,2022-07-22 08:58:34.700000 AM
