RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
1,NB,T,1658519850.623,53.60699987411499,2022-07-22 15:57:30.623000,2022-07-22 07:57:30.623000,2022-07-22 08:57:30.623000,2022-07-22 07:57:30.623000 AM,2022-07-22 08:57:30.623000 AM
1,NB,T,1658519969.122,52.503000020980835,2022-07-22 15:59:29.122000,2022-07-22 07:59:29.122000,2022-07-22 08:59:29.122000,2022-07-22 07:59:29.122000 AM,2022-07-22 08:59:29.122000 AM
1,NB,L,1658519892.636,96.91699981689453,2022-07-22 15:58:12.636000,2022-07-22 07:58:12.636000,2022-07-22 08:58:12.636000,2022-07-22 07:58:12.636000 AM,2022-07-22 08:58:12.636000 AM
1,NB,L,1658520012.634,96.91799998283386,2022-07-22 16:00:12.634000,2022-07-22 08:00:12.634000,2022-07-22 09:00:12.634000,2022-07-22 08:00:12.634000 AM,2022-07-22 09:00:12.634000 AM
1,SB,T,1658519831.626,60.008999824523926,2022-07-22 15:57:11.626000,2022-07-22 07:57:11.626000,2022-07-22 08:57:11.626000,2022-07-22 07:57:11.626000 AM,2022-07-22 08:57:11.626000 AM
1,SB,T,1658519950.128,58.51300001144409,2022-07-22 15:59:10.128000,2022-07-22 07:59:10.128000,2022-07-22 08:59:10.128000,2022-07-22 07:59:10.128000 AM,2022-07-22 08:59:10.128000 AM
1,EB,L,1658519797.634,229.82000017166138,2022-07-22 15:56:37.634000,2022-07-22 07:56:37.634000,2022-07-22 08:56:37.634000,2022-07-22 07:56:37.634000 AM,2022-07-22 08:56:37.634000 AM
1,EB,L,1658519917.625,110.50699996948242,2022-07-22 15:58:37.625000,2022-07-22 07:58:37.625000,2022-07-22 08:58:37.625000,2022-07-22 07:58:37.625000 AM,2022-07-22 08:58:37.625000 AM
1,WB,L,1658519797.634,106.21600008010864,2022-07-22 15:56:37.634000,2022-07-22 07:56:37.634000,2022-07-22 08:56:37.634000,2022-07-22 07:56:37.634000 AM,2022-07-22 08:56:37.634000 AM
1,WB,L,1658519917.625,107.60899996757507,2022-07-22 15:58:37.625000,2022-07-22 07:58:37.625000,2022-07-22 08:58:37.625000,2022-07-22 07:58:37.625000 AM,2022-07-22 08:58:37.625000 AM
2,SB,L,1658519884.384,96.11100006103516,2022-07-22 15:58:04.384000,2022-07-22 07:58:04.384000,2022-07-22 08:58:04.384000,2022-07-22 07:58:04.384000 AM,2022-07-22 08:58:04.384000 AM
2,SB,L,1658519884.384,96.11100006103516,2022-07-22 15:58:04.384000,2022-07-22 07:58:04.384000,2022-07-22 08:58:04.384000,2022-07-22 07:58:04.384000 AM,2022-07-22 08:58:04.384000 AM
2,WB,T,1658519812.301,36.045000076293945,2022-07-22 15:56:52.301000,2022-07-22 07:56:52.301000,2022-07-22 08:56:52.301000,2022-07-22 07:56:52.301000 AM,2022-07-22 08:56:52.301000 AM
2,WB,T,1658519932.439,48.05499982833862,2022-07-22 15:58:52.439000,2022-07-22 07:58:52.439000,2022-07-22 08:58:52.439000,2022-07-22 07:58:52.439000 AM,2022-07-22 08:58:52.439000 AM
2,WB,L,1658519908.412,96.11099982261658,2022-07-22 15:58:28.412000,2022-07-22 07:58:28.412000,2022-07-22 08:58:28.412000,2022-07-22 07:58:28.412000 AM,2022-07-22 08:58:28.412000 AM
2,WB,L,1658520028.553,96.11400008201599,2022-07-22 16:00:28.553000,2022-07-22 08:00:28.553000,2022-07-22 09:00:28.553000,2022-07-22 08:00:28.553000 AM,2022-07-22 09:00:28.553000 AM
4,NB,T,1658519819.232,53.188000202178955,2022-07-22 15:56:59.232000,2022-07-22 07:56:59.232000,2022-07-22 08:56:59.232000,2022-07-22 07:56:59.232000 AM,2022-07-22 08:56:59.232000 AM
4,NB,T,1658519942.137,46.07000017166138,2022-07-22 15:59:02.137000,2022-07-22 07:59:02.137000,2022-07-22 08:59:02.137000,2022-07-22 07:59:02.137000 AM,2022-07-22 08:59:02.137000 AM
