RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
1,NB,T,1658519916.619,119.6029999256134,2022-07-22 15:58:36.619000,2022-07-22 07:58:36.619000,2022-07-22 08:58:36.619000,2022-07-22 07:58:36.619000 AM,2022-07-22 08:58:36.619000 AM
1,NB,T,1658520036.618,119.99900007247925,2022-07-22 16:00:36.618000,2022-07-22 08:00:36.618000,2022-07-22 09:00:36.618000,2022-07-22 08:00:36.618000 AM,2022-07-22 09:00:36.618000 AM
1,NB,L,1658519915.716,119.99699997901917,2022-07-22 15:58:35.716000,2022-07-22 07:58:35.716000,2022-07-22 08:58:35.716000,2022-07-22 07:58:35.716000 AM,2022-07-22 08:58:35.716000 AM
1,NB,L,1658520035.714,119.99799990653992,2022-07-22 16:00:35.714000,2022-07-22 08:00:35.714000,2022-07-22 09:00:35.714000,2022-07-22 08:00:35.714000 AM,2022-07-22 09:00:35.714000 AM
1,SB,T,1658519891.615,119.99799990653992,2022-07-22 15:58:11.615000,2022-07-22 07:58:11.615000,2022-07-22 08:58:11.615000,2022-07-22 07:58:11.615000 AM,2022-07-22 08:58:11.615000 AM
1,SB,T,1658520011.616,120.00099992752075,2022-07-22 16:00:11.616000,2022-07-22 08:00:11.616000,2022-07-22 09:00:11.616000,2022-07-22 08:00:11.616000 AM,2022-07-22 09:00:11.616000 AM
1,EB,L,1658519807.118,239.30400013923645,2022-07-22 15:56:47.118000,2022-07-22 07:56:47.118000,2022-07-22 08:56:47.118000,2022-07-22 07:56:47.118000 AM,2022-07-22 08:56:47.118000 AM
1,EB,L,1658519927.023,119.90499997138977,2022-07-22 15:58:47.023000,2022-07-22 07:58:47.023000,2022-07-22 08:58:47.023000,2022-07-22 07:58:47.023000 AM,2022-07-22 08:58:47.023000 AM
1,WB,L,1658519810.016,118.59800004959106,2022-07-22 15:56:50.016000,2022-07-22 07:56:50.016000,2022-07-22 08:56:50.016000,2022-07-22 07:56:50.016000 AM,2022-07-22 08:56:50.016000 AM
1,WB,L,1658519927.123,117.10699987411499,2022-07-22 15:58:47.123000,2022-07-22 07:58:47.123000,2022-07-22 08:58:47.123000,2022-07-22 07:58:47.123000 AM,2022-07-22 08:58:47.123000 AM
2,SB,L,1658519908.412,120.13899993896484,2022-07-22 15:58:28.412000,2022-07-22 07:58:28.412000,2022-07-22 08:58:28.412000,2022-07-22 07:58:28.412000 AM,2022-07-22 08:58:28.412000 AM
2,SB,L,1658520028.553,240.27999997138977,2022-07-22 16:00:28.553000,2022-07-22 08:00:28.553000,2022-07-22 09:00:28.553000,2022-07-22 08:00:28.553000 AM,2022-07-22 09:00:28.553000 AM
2,WB,T,1658519884.384,769.2880001068115,2022-07-22 15:58:04.384000,2022-07-22 07:58:04.384000,2022-07-22 08:58:04.384000,2022-07-22 07:58:04.384000 AM,2022-07-22 08:58:04.384000 AM
2,WB,T,1658519980.497,865.4010000228882,2022-07-22 15:59:40.497000,2022-07-22 07:59:40.497000,2022-07-22 08:59:40.497000,2022-07-22 07:59:40.497000 AM,2022-07-22 08:59:40.497000 AM
2,WB,L,1658519932.439,324.4269998073578,2022-07-22 15:58:52.439000,2022-07-22 07:58:52.439000,2022-07-22 08:58:52.439000,2022-07-22 07:58:52.439000 AM,2022-07-22 08:58:52.439000 AM
2,WB,L,1658520052.603,120.16400003433228,2022-07-22 16:00:52.603000,2022-07-22 08:00:52.603000,2022-07-22 09:00:52.603000,2022-07-22 08:00:52.603000 AM,2022-07-22 09:00:52.603000 AM
4,NB,T,1658519896.067,130.02300000190735,2022-07-22 15:58:16.067000,2022-07-22 07:58:16.067000,2022-07-22 08:58:16.067000,2022-07-22 07:58:16.067000 AM,2022-07-22 08:58:16.067000 AM
4,NB,T,1658520025.021,128.9539999961853,2022-07-22 16:00:25.021000,2022-07-22 08:00:25.021000,2022-07-22 09:00:25.021000,2022-07-22 08:00:25.021000 AM,2022-07-22 09:00:25.021000 AM
4,SB,T,1658519896.067,130.02300000190735,2022-07-22 15:58:16.067000,2022-07-22 07:58:16.067000,2022-07-22 08:58:16.067000,2022-07-22 07:58:16.067000 AM,2022-07-22 08:58:16.067000 AM
4,SB,T,1658520025.021,128.9539999961853,2022-07-22 16:00:25.021000,2022-07-22 08:00:25.021000,2022-07-22 09:00:25.021000,2022-07-22 08:00:25.021000 AM,2022-07-22 09:00:25.021000 AM
4,WB,L,1658519907.717,129.40100002288818,2022-07-22 15:58:27.717000,2022-07-22 07:58:27.717000,2022-07-22 08:58:27.717000,2022-07-22 07:58:27.717000 AM,2022-07-22 08:58:27.717000 AM
