RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
1,NB,T,1658519912.221,115.20499992370605,2022-07-22 15:58:32.221000,2022-07-22 07:58:32.221000,2022-07-22 08:58:32.221000,2022-07-22 07:58:32.221000 AM,2022-07-22 08:58:32.221000 AM
1,NB,T,1658520032.218,115.59899997711182,2022-07-22 16:00:32.218000,2022-07-22 08:00:32.218000,2022-07-22 09:00:32.218000,2022-07-22 08:00:32.218000 AM,2022-07-22 09:00:32.218000 AM
1,NB,L,1658519912.221,116.5019998550415,2022-07-22 15:58:32.221000,2022-07-22 07:58:32.221000,2022-07-22 08:58:32.221000,2022-07-22 07:58:32.221000 AM,2022-07-22 08:58:32.221000 AM
1,NB,L,1658520032.218,116.5019998550415,2022-07-22 16:00:32.218000,2022-07-22 08:00:32.218000,2022-07-22 09:00:32.218000,2022-07-22 08:00:32.218000 AM,2022-07-22 09:00:32.218000 AM
1,SB,T,1658519888.014,116.39699983596802,2022-07-22 15:58:08.014000,2022-07-22 07:58:08.014000,2022-07-22 08:58:08.014000,2022-07-22 07:58:08.014000 AM,2022-07-22 08:58:08.014000 AM
1,SB,T,1658520007.217,115.60199999809265,2022-07-22 16:00:07.217000,2022-07-22 08:00:07.217000,2022-07-22 09:00:07.217000,2022-07-22 08:00:07.217000 AM,2022-07-22 09:00:07.217000 AM
1,EB,L,1658519804.016,236.2020001411438,2022-07-22 15:56:44.016000,2022-07-22 07:56:44.016000,2022-07-22 08:56:44.016000,2022-07-22 07:56:44.016000 AM,2022-07-22 08:56:44.016000 AM
1,EB,L,1658519924.019,116.90100002288818,2022-07-22 15:58:44.019000,2022-07-22 07:58:44.019000,2022-07-22 08:58:44.019000,2022-07-22 07:58:44.019000 AM,2022-07-22 08:58:44.019000 AM
1,WB,L,1658519807.118,115.70000004768372,2022-07-22 15:56:47.118000,2022-07-22 07:56:47.118000,2022-07-22 08:56:47.118000,2022-07-22 07:56:47.118000 AM,2022-07-22 08:56:47.118000 AM
1,WB,L,1658519927.023,117.00699996948242,2022-07-22 15:58:47.023000,2022-07-22 07:58:47.023000,2022-07-22 08:58:47.023000,2022-07-22 07:58:47.023000 AM,2022-07-22 08:58:47.023000 AM
